Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
q6q546_ub,q6q546_ub,,100.0,0.0,0.74
q6q546_ub_h35,q6q546_ub,A0A1Y2DL83,32.39,67.61,0.28
q6q546_ub_h40,q6q546_ub,A0AA43QRV0,39.44,60.56,0.16
q6q546_ub_h45,q6q546_ub,A2DGV4,44.44,55.56,0.73
q6q546_ub_h50,q6q546_ub,K9IW29,47.22,52.78,0.39
q6q546_ub_h55,q6q546_ub,A0A0D2WPX0,54.93,45.07,0.74
q6q546_ub_h60,q6q546_ub,A0AAJ7TDF0,59.72,40.28,0.1
q6q546_ub_h65,q6q546_ub,O94650,63.89,36.11,0.65
q6q546_ub_h70,q6q546_ub,G3MY86,66.67,33.33,0.61
q6q546_ub_h75,q6q546_ub,Q756X3,73.97,26.03,0.77
q6q546_ub_h80,q6q546_ub,A0A1Q3ADT9,79.45,20.549999999999997,0.83
q6q546_ub_h85,q6q546_ub,Q6FIX7,83.33,16.67,0.79
