Complex name:,Uniprot Accession Number:,% Identity:,E-Value:,Homolog Fasta:
p43558_ub_model_A,G8BS44,55.19,2e-59,p43558_ub_model_A_H60.fasta
p43558_ub_model_A,A0A7H9B392,49.69,2e-51,p43558_ub_model_A_H50.fasta
p43558_ub_model_A,A0A1G4IQY0,43.55,3e-48,p43558_ub_model_A_H45.fasta
p43558_ub_model_A,A0A1E5RFV8,36.59,4e-36,p43558_ub_model_A_H40.fasta
p43558_ub_model_A,A0A9P5UT15,34.97,8.000000000000001e-28,p43558_ub_model_A_H35.fasta
p43558_ub_model_A,A0A1C7NSD1,28.83,9e-19,p43558_ub_model_A_H30.fasta
p43558_ub_model_A,A0A7S1UAC3,24.43,1e-11,p43558_ub_model_A_H25.fasta
q03856_ub_model_A,A6ZMH7,80.4,2e-111,q03856_ub_model_A_H85.fasta
q03856_ub_model_A,A0AA35JE33,65.99,3.9999999999999996e-86,q03856_ub_model_A_H70.fasta
q03856_ub_model_A,A0AA35NLP0,64.32,2e-76,q03856_ub_model_A_H65.fasta
q03856_ub_model_A,A0AA35ND33,48.99,1e-59,q03856_ub_model_A_H50.fasta
q03856_ub_model_A,A7TJX5,30.11,2e-16,q03856_ub_model_A_H35.fasta
q03856_ub_model_A,A0A7H9HN04,28.65,3e-15,q03856_ub_model_A_H30.fasta
q03856_ub_model_A,A7TMQ1,24.73,7e-14,q03856_ub_model_A_H25.fasta
p0cx71_ub_model_A,A6ZMH7,79.9,3e-110,p0cx71_ub_model_A_H80.fasta
p0cx71_ub_model_A,A0AA35JE33,65.99,3e-86,p0cx71_ub_model_A_H70.fasta
p0cx71_ub_model_A,A0AA35NLP0,64.32,2e-76,p0cx71_ub_model_A_H65.fasta
p0cx71_ub_model_A,A0AA35ND33,48.99,2e-59,p0cx71_ub_model_A_H50.fasta
p0cx71_ub_model_A,A7TJX5,30.11,4e-16,p0cx71_ub_model_A_H35.fasta
p0cx71_ub_model_A,A0A7H9HN04,28.65,4e-15,p0cx71_ub_model_A_H30.fasta
p0cx71_ub_model_A,A7TMQ1,24.73,6e-14,p0cx71_ub_model_A_H25.fasta
q12468_ub_model_A,A7TL78,43.44,9.000000000000001e-82,q12468_ub_model_A_H45.fasta
q12468_ub_model_A,G0WFI8,35.66,9e-75,q12468_ub_model_A_H40.fasta
q12468_ub_model_A,H2AW83,34.57,7e-77,q12468_ub_model_A_H35.fasta
p40985_ub_model_A,A0A4C2E9R0,68.33,9e-52,p40985_ub_model_A_H70.fasta
p40985_ub_model_A,A0A0W0CPB1,62.5,2.9999999999999997e-47,p40985_ub_model_A_H65.fasta
p40985_ub_model_A,A7TNX4,59.38,2.0000000000000003e-45,p40985_ub_model_A_H60.fasta
p40985_ub_model_A,Q5ANK9,50.4,9.999999999999999e-31,p40985_ub_model_A_H55.fasta
p40985_ub_model_A,W0T8E3,46.67,3.9999999999999996e-30,p40985_ub_model_A_H50.fasta
p40985_ub_model_A,K0KJU4,44.27,2.0000000000000002e-28,p40985_ub_model_A_H45.fasta
p40985_ub_model_A,A0A5B0QCH7,38.64,3e-20,p40985_ub_model_A_H40.fasta
p40985_ub_model_A,A0A2J8AEV9,34.82,2e-19,p40985_ub_model_A_H35.fasta
