Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
q02159_ub,q02159_ub,,100.0,0.0,0.83
q02159_ub_h40,q02159_ub,P25153,39.26,60.74,0.49
q02159_ub_h45,q02159_ub,A0A6C0GZH3,42.11,57.89,0.37
q02159_ub_h50,q02159_ub,A0A9P6BHQ2,48.47,51.53,0.47
q02159_ub_h55,q02159_ub,A0A7S1CHY3,54.55,45.45,0.85
q02159_ub_h60,q02159_ub,A0A1C1CVK3,59.76,40.24,0.21
q02159_ub_h65,q02159_ub,A0A0F8BP19,61.82,38.18,0.2
q02159_ub_h70,q02159_ub,A0A8H8P9X7,69.78,30.22,0.91
q02159_ub_h75,q02159_ub,A0A8F2W3G8,72.96,27.040000000000006,0.34
q02159_ub_h80,q02159_ub,A0A1E3P3E7,76.54,23.459999999999994,0.19
q02159_ub_h90,q02159_ub,G8ZQ92,87.88,12.120000000000005,0.84
