Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p36037_ub,p36037_ub,,100.0,0.0,0.82
p36037_ub_h35,p36037_ub,A0A4V5NBD5,32.89,67.11,0.62
p36037_ub_h40,p36037_ub,A0A085NR99,38.16,61.84,0.75
p36037_ub_h45,p36037_ub,A0A7M7JEH4,42.86,57.14,0.83
p36037_ub_h50,p36037_ub,A0A443SEI4,48.19,51.81,0.81
p36037_ub_h55,p36037_ub,A0A1E4TQK5,54.43,45.57,0.6
p36037_ub_h60,p36037_ub,A0AAV5QPF9,58.14,41.86,0.79
p36037_ub_h65,p36037_ub,I2H3A6,64.1,35.900000000000006,0.77
p36037_ub_h70,p36037_ub,A0A1E5RDY0,65.28,34.72,0.8
p36037_ub_h99,p36037_ub,B5VLV3,98.77,1.230000000000004,0.18
