Name:;Gene name:;Weighted mean:
p38753_ub;HSE1;8,38402E+15
q02887_ub;ATG21;4,78488E+16
p34223_ub;SHP1;9,13077E+15
q06266_ub;TOS4;8,65608E+15
p40985_ub;HUL4;7,69242E+15
p40210_ub;SIP5;8,49463E+15
p24869_ub;CLB2;4,4954E+16
p53836_ub;CAF120;6,88114E+15
p43558_ub;OTU1;8,66305E+15
p32488_ub;ISF1;85
p25334_ub;CPR4;4,68707E+15
p45978_ub;SCD6;3,49898E+15
q02732_ub;CTF19;4,86132E+16
p46989_ub;ATG27;4,05043E+15
p39944_ub;UBP5;9,58571E+14
q05468_ub;RQC1;8,03959E+15
q12511_ub;PTC5;3,72869E+14
q12347_ub;HRT3;6,19016E+15
p31755_ub;OCH1;5,02371E+15
p40453_ub;UBP7;9,57732E+15
p38856_ub;YAP1801;5,86324E+15
q04201_ub;CUE4;7,67239E+15
q08774_ub;RRG7;5,35579E+15
p53962_ub;YNL035C;5,63187E+15
p03877_ub;AI3;4,50192E+16
p40480_ub;HOS4;6,16978E+15
q01476_ub;UBP2;9,41793E+15
p40167_ub;SLZ1;84
p32499_ub;NUP2;6,49452E+15
p38285_ub;AMN1;7,64234E+15
p08004_ub;CHS1;4,00196E+16
p38041_ub;BOI1;8,18441E+15
q05785_ub;ENT2;79
p40537_ub;ULP2;7,27288E+15
p38284_ub;ICS2;6,13241E+15
p38346_ub;BIT2;5,56543E+15
p40477_ub;NUP159;4,11407E+16
p38260_ub;FES1;4,36997E+15
q04383_ub;PLM2;8,64499E+15
q08747_ub;UAF30;7,60333E+15
p38187_ub;UBP13;9,64137E+15
q07843_ub;IRC19;7,8595E+15
p36069_ub;PMU1;4,88914E+16
p39940_ub;RSP5;6,93513E+15
p34222_ub;PTH2;7,49168E+15
q12271_ub;INP53;4,66616E+15
q04215_ub;TY1A-MR1;5,6533E+15
p22515_ub;UBA1;8,87369E+15
q6q5p6_ub;TY4A-H;5,04373E+15
p40505_ub;SDS3;6,97787E+15
p38339_ub;RGD1;5,36763E+15
p38226_ub;CST26;4,62441E+16
p22108_ub;APA2;5,4771E+15
q12514_ub;NOT5;4,89263E+15
p39988_ub;BUD16;4,07821E+16
p53728_ub;CPR8;5,68405E+15
p53327_ub;SLH1;6,22345E+15
p04385_ub;GAL1;4,84065E+16
p25369_ub;LSB5;8,16885E+15
p12611_ub;WHI2;6,03269E+15
q12468_ub;RRI1;9,27578E+15
p0cx65_ub;TY1A-DR5;5,05755E+15
p25604_ub;STP22;6,47565E+15
q99222_ub;AFI1;5,82453E+15
p0cx71_ub;TY1A-ER1;5,0758E+15
q12260_ub;TY2A-B;4,01972E+16
p38996_ub;NAB3;6,76817E+15
p23585_ub;HXT2;4,2123E+15
p0cx69_ub;TY1A-MR2;5,05755E+15
p38270_ub;ATG14;4,83266E+15
q02863_ub;UBP16;9,34314E+15
q12071_ub;VPS54;5,98969E+15
q04228_ub;UBX2;8,98355E+15
q05610_ub;DON1;71
p53237_ub;LST7;4,58793E+15
p23202_ub;URE2;5,04442E+15
p53119_ub;HUL5;8,00539E+15
p00912_ub;TRP1;4,82533E+15
p40353_ub;ATF1;4,85084E+15
p0cx76_ub;TY1A-ML2;5,06296E+15
p15731_ub;UBC4;5,57575E+15
p0cx60_ub;TY1A-PR2;5,22721E+15
p0cx66_ub;TY1A-ER2;5,05755E+15
p38893_ub;YHR210C;4,03591E+16
p39969_ub;BOI2;8,81754E+13
q12490_ub;TY1B-BL;7,19414E+15
p53744_ub;BIO5;4,13843E+16
p25344_ub;STE50;4,91088E+15
p53923_ub;NCS2;6,68746E+15
p47011_ub;GLG2;4,29842E+15
q12316_ub;TY1B-GR3;4,89146E+16
p32521_ub;PAN1;9,12879E+15
q04511_ub;UFO1;6,82276E+15
q12049_ub;THP3;4,48393E+16
q05812_ub;MSC3;7,23371E+15
p25580_ub;PBN1;4,68296E+16
p32849_ub;RAD5;72
p16550_ub;APA1;6,12828E+15
p0cx70_ub;TY1A-DR6;5,0758E+15
p43588_ub;RPN11;7,98672E+15
p38747_ub;OTU2;9,21553E+15
p54000_ub;SUB1;4,23224E+16
p33202_ub;UFD4;8,44482E+15
p25566_ub;MXR2;4,02813E+15
p32609_ub;PEP7;8,27104E+14
p38817_ub;GGA2;7,67932E+15
p48582_ub;BRO1;8,61651E+12
p53137_ub;CUE3;5,90209E+15
p32783_ub;ABD1;3,9892E+15
p34216_ub;EDE1;8,24333E+15
p47099_ub;TY1A-JR2;5,10576E+15
p50102_ub;UBP8;9,01843E+15
p23201_ub;SPA2;88
p0cx67_ub;TY1A-GR3;5,05755E+15
p32571_ub;DOA4;9,55867E+15
p32909_ub;SMY2;8,57385E+15
q08096_ub;RCL1;4,612E+15
q12441_ub;TY1A-DR3;5,25018E+15
q99303_ub;TY2A-DR3;4,47428E+15
p39728_ub;YAL037W;5,42863E+15
p38630_ub;RFC1;4,10169E+16
p28778_ub;MRP17;4,85843E+16
p15703_ub;BGL2;6,01261E+15
p0cx72_ub;TY1A-LR2;5,0758E+15
q04214_ub;TY1B-MR1;5,09371E+15
q12084_ub;DAS2;4,60754E+16
p47043_ub;ZAP1;6,04378E+15
p47976_ub;CTH1;5,14249E+15
p32389_ub;MET4;8,601E+15
p34909_ub;MOT2;5,21833E+15
q12391_ub;TY1A-NL1;5,64295E+15
q03213_ub;HOT1;73
p10862_ub;RAD18;8,31981E+15
q06287_ub;EMG1;3,74763E+16
p35180_ub;TOM20;3,767E+15
p38764_ub;RPN1;6,13902E+15
p53202_ub;CUL3;4,40602E+16
q12266_ub;TY1A-BL;5,36997E+15
p53259_ub;PCP1;5,07104E+14
q08412_ub;CUE5;8,75739E+15
q12003_ub;ENV7;3,89182E+15
p38884_ub;AIM18;5,36677E+15
q06677_ub;SWA2;9,29867E+15
p50101_ub;UBP15;9,27274E+15
p40956_ub;GTS1;8,96865E+15
q06417_ub;TDA5;4,02329E+16
p39538_ub;UBP12;9,35278E+15
q12395_ub;DCN1;7,93036E+15
p14736_ub;RAD4;7,36178E+15
p53324_ub;SAY1;4,79733E+16
q12107_ub;APC9;6,9753E+15
p0c2i4_ub;TY1A-H;5,54849E+15
q04706_ub;TY1A-ML1;5,2637E+15
p0cx68_ub;TY1A-LR1;5,05755E+15
q03856_ub;TY1A-DR1;5,24114E+15
p10823_ub;GPA2;5,00182E+15
p38957_ub;SHU2;6,46933E+15
p38207_ub;APN2;4,72714E+15
p39967_ub;UBP9;9,60195E+15
p35732_ub;DEF1;93
p33324_ub;YKL091C;3,44555E+14
q92392_ub;TY1A-OL;5,25822E+15
q12112_ub;TY1B-NL1;5,54614E+15
p47014_ub;YJL132W;4,0794E+16
q06651_ub;PIB1;8,48622E+15
p04819_ub;CDC9;3,39426E+16
p28273_ub;OXP1;4,33685E+16
p18414_ub;ERD2;4,32881E+15
p38824_ub;COX23;4,63066E+16
q06682_ub;UBX5;82
p48510_ub;DSK2;9,13771E+15
p0c2i5_ub;TY1B-LR2;4,99557E+15
q08960_ub;TYW1;4,48403E+14
q08923_ub;CTI6;7,91354E+15
o13563_ub;RPN13;7,71127E+15
p36143_ub;GLG1;3,0018E+16
p0cx59_ub;TY1A-OR;5,22721E+15
q06336_ub;GGA1;8,64879E+14
p25579_ub;LRE1;5,71876E+15
p33748_ub;MSN2;7,57648E+15
p53094_ub;MDS3;6,05232E+15
p54860_ub;UFD2;6,63224E+14
